Date,Rocket-TVL,market_cap
2023-03-14,1067784945,821728562.0025773
2023-03-15,1079958629,826302229.5144024
2023-03-16,1043742301,744201172.3476546
2023-03-17,1063029353,797461374.5211941
2023-03-18,1139268175,826723821.6408113
2023-03-19,1132360178,815228820.2830468
2023-03-20,1131494390,836765694.9064219
2023-03-21,1112919084,788844378.293149
2023-03-22,1131514255,789386240.2826995
2023-03-23,1089791579,744529659.8756288
2023-03-24,1129432123,775627239.1635356
2023-03-25,1091858425,737601030.9342414
2023-03-26,1091300267,744958322.8042074
2023-03-27,1129480436,814150360.6534462
2023-03-28,1084877799,774545171.2684746
2023-03-29,1160008919,878951467.9018607
2023-03-30,1169100311,881133549.4272797
2023-03-31,1159142218,827982892.004339
2023-04-01,1169730042,850092150.5059628
2023-04-02,1173742667,859476844.2461381
2023-04-03,1157947124,840489617.1232883
2023-04-04,1164252897,835931828.9272897
2023-04-05,1255177480,896867237.1743484
2023-04-06,1262719574,908490993.7665097
2023-04-07,1242328165,883593529.8721435
2023-04-08,1225392760,865755869.2527349
2023-04-09,1230144846,871165776.7974933
2023-04-10,1231598624,863875085.7128707
2023-04-11,1277041181,909971327.1628262
2023-04-12,1232101268,837621447.0226592
2023-04-13,1239694999,824544146.7595981
2023-04-14,1377562988,890303866.6579493
2023-04-15,1401643408,987202180.662567
2023-04-16,1414105323,1002135210.5523484
2023-04-17,1447011486,1141751431.4967985
2023-04-18,1438624136,1068518311.4322116
2023-04-19,1481431874,1087233164.928588
2023-04-20,1386142745,985429751.5582794
2023-04-21,1367041822,910539943.5853492
2023-04-22,1328062616,856295573.0766845
2023-04-23,1357709330,907839409.681214
2023-04-24,1368708988,895981694.7570966
2023-04-25,1361389788,890172407.4303011
2023-04-26,1407135798,907553411.9504638
2023-04-27,1468126876,906776452.6524608
2023-04-28,1466130143,915943541.7873424
2023-04-29,1463825060,892403764.7838336
2023-04-30,1492467319,911154006.1212336
2023-05-01,1484983452,903378071.16723
2023-05-02,1463744385,899085842.987422
2023-05-03,1502968548,940608855.2598498
2023-05-04,1566731725,1003597357.2199692
2023-05-05,1539903771,962245292.1204787
2023-05-06,1637351745,984336299.9509832
2023-05-07,1551577171,935253383.8513224
2023-05-08,1541584698,951090805.059776
2023-05-09,1510168473,913003826.2183625
2023-05-10,1527683514,919200621.0588531
2023-05-11,1514358231,907427974.1010932
2023-05-12,1484941958,872174089.3691592
2023-05-13,1527728333,905511299.9119936
2023-05-14,1568638315,971415838.0337611
2023-05-15,1585234997,1000472693.4390692
2023-05-16,1614701553,1010139271.6060256
2023-05-17,1613696062,967686037.276165
2023-05-18,1635575831,981277793.7598432
2023-05-19,1631652027,964084029.096985
2023-05-20,1638219946,953782275.2921108
2023-05-21,1670552389,959959844.996661
2023-05-22,1656540735,958268146.5851718
2023-05-23,1658007528,925953119.9742444
2023-05-24,1694425069,944360489.4192094
2023-05-25,1642663649,898594335.8253747
2023-05-26,1657827841,901593641.6356066
2023-05-27,1693840558,914395507.4389082
2023-05-28,1717334351,918574885.1728565
2023-05-29,1793661677,960325524.7776684
2023-05-30,1774080173,954384620.0699624
2023-05-31,1800226749,957560998.3599898
2023-06-01,1775721549,943494471.6948766
2023-06-02,1782756974,946104197.1268674
2023-06-03,1819588540,956118785.7905756
2023-06-04,1817783830,949322353.068596
2023-06-05,1814993888,958068071.8553342
2023-06-06,1771979384,919399872.1102908
2023-06-07,1849952471,947468713.6962574
2023-06-08,1799935655,915099072.5292507
2023-06-09,1815346422,918247713.4208348
2023-06-10,1811830003,924518840.1816628
2023-06-11,1717382958,855916253.0298113
2023-06-12,1722801522,857843043.5458618
2023-06-13,1682336774,803870439.7123169
2023-06-14,1699798004,801078444.6739821
