,Date,Timestamp,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido
,,,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking
,,,terra,moonriver,moonbeam,ethereum,solana,Total,terra,moonriver,moonbeam,ethereum,ethereum,ethereum,solana,Total,Total,Total,Total,Total,Total,Total,terra,moonriver,moonbeam,ethereum,ethereum,ethereum,solana,Total,Total,Total,Total,Total,Total,Total
,,,TVL,TVL,TVL,TVL,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,,,,,terra-luna,kusama,polkadot,ethereum,WETH,MATIC,solana,ethereum,terra-luna,WETH,solana,kusama,MATIC,polkadot,terra-luna,kusama,polkadot,ethereum,WETH,MATIC,solana,ethereum,terra-luna,WETH,solana,kusama,MATIC,polkadot
,16/02/2021,1613433600,0,,,289892552.514572,,289892552.514572,,,,289892552.514572,,,,289892552.514572,,,,,,,,,,164364.8765971291,,,,164364.8765971291,,,,,,
,17/02/2021,1613520000,0,,,294701079.7907254,,294701079.7907254,,,,294701079.7907254,,,,294701079.7907254,,,,,,,,,,164834.40465394798,,,,164834.40465394798,,,,,,
,18/02/2021,1613606400,0,,,298817631.43701607,,298817631.43701607,,,,298817631.43701607,,,,298817631.43701607,,,,,,,,,,165202.00423535606,,,,165202.00423535606,,,,,,
,19/02/2021,1613692800,0,,,340560743.3388701,,340560743.3388701,,,,340560743.3388701,,,,340560743.3388701,,,,,,,,,,177934.86380430943,,,,177934.86380430943,,,,,,
,20/02/2021,1613779200,0,,,347618380.50973696,,347618380.50973696,,,,347618380.50973696,,,,347618380.50973696,,,,,,,,,,179990.13923301693,,,,179990.13923301693,,,,,,
,21/02/2021,1613865600,0,,,363633943.79132575,,363633943.79132575,,,,363633943.79132575,,,,363633943.79132575,,,,,,,,,,180587.55142415923,,,,180587.55142415923,,,,,,
,22/02/2021,1613952000,0,,,357021502.4111183,,357021502.4111183,,,,357021502.4111183,,,,357021502.4111183,,,,,,,,,,180991.86779866274,,,,180991.86779866274,,,,,,
,23/02/2021,1614038400,0,,,333163674.62845737,,333163674.62845737,,,,333163674.62845737,,,,333163674.62845737,,,,,,,,,,181074.1983033997,,,,181074.1983033997,,,,,,
,24/02/2021,1614124800,0,,,267003426.95108965,,267003426.95108965,,,,267003426.95108965,,,,267003426.95108965,,,,,,,,,,181110.06197049542,,,,181110.06197049542,,,,,,
,25/02/2021,1614211200,0,,,303534847.4143015,,303534847.4143015,,,,303534847.4143015,,,,303534847.4143015,,,,,,,,,,181421.30504962066,,,,181421.30504962066,,,,,,
