Date,Stader-TVL-total,market_cap
2023-04-15,125666573.8,34301449.64455062
2023-04-16,126619823,32673518.974952508
2023-04-17,126462383.9,31339655.963322952
2023-04-18,125339744.1,32279912.025483143
2023-04-19,128207343.6,31330678.23558634
2023-04-20,120480777.3,26900410.543052424
2023-04-21,119152313.2,26009733.434033006
2023-04-22,114761847.7,27558383.48864616
2023-04-23,116408748.4,27948961.17980362
2023-04-24,115957115.5,25619657.02625472
2023-04-25,113640285.5,26565642.37432432
2023-04-26,116346859.3,27046801.402417496
2023-04-27,116959716,27124531.929503325
2023-04-28,114290668.4,26354104.99616174
2023-04-29,112735670.8,25118103.612882435
2023-04-30,113770364.3,26497773.58301949
2023-05-01,113299334.9,26648207.276078902
2023-05-02,109003330.4,24808340.049223777
2023-05-03,109276953.7,26318930.43895608
2023-05-04,122509725.3,25969724.447705977
2023-05-05,119457010.4,25665466.08931025
2023-05-06,121166099.6,24770091.95291397
2023-05-07,118404948,25645438.548590768
2023-05-08,116541728.8,25106741.45861874
2023-05-09,109438250.6,24263567.507351235
2023-05-10,108347699.8,23627146.68141517
2023-05-11,107487177.2,24244515.06489121
2023-05-12,103853991.3,22644194.071851235
2023-05-13,105232413,23257858.543221194
2023-05-14,104108964.2,23059047.499043424
2023-05-15,103789442.8,23071462.278752312
2023-05-16,105465236.3,23297476.662461866
2023-05-17,104709261.5,24113317.128360584
2023-05-18,107542818.3,23620245.38619212
2023-05-19,105504852,23270476.80662585
2023-05-20,105212828.1,23093372.502667267
2023-05-21,106469384.8,22862661.93905421
2023-05-22,103182315.2,22685866.41506445
2023-05-23,105141159.1,24106080.289525244
2023-05-24,107182647.4,24833453.907000493
2023-05-25,105466390.2,24778249.269076407
2023-05-26,107342101.7,24387920.10202141
2023-05-27,109154755,24810036.17173961
2023-05-28,111101820.4,24904683.19575325
2023-05-29,113151913.9,25951121.55130505
2023-05-30,109650797.5,26696803.158100955
2023-05-31,109479316.9,27136834.54945124
2023-06-01,107357448.6,25645874.76988365
2023-06-02,107157260.7,25057920.464826185
2023-06-03,108333778,24856123.62295587
2023-06-04,108525456.4,24767470.91672953
2023-06-05,108192028.5,22662114.84255281
2023-06-06,101181689.4,22884352.161737096
2023-06-07,101157270.6,25471940.94773857
2023-06-08,95569901.5,25263618.35473749
2023-06-09,96661228.65,24786763.56704172
2023-06-10,91149802.67,24214903.18989829
2023-06-11,80016770.87,23135425.24453625
